year,value
2003,1.1431689
2004,1.173178
2005,1.2086743
2006,1.2473115
2007,1.2860545
2008,1.3219293
2009,1.3537412
2010,1.3839017
2011,1.4160576
2012,1.4517944
2013,1.4910755
2014,1.531842
2015,1.5719384
2016,1.6112757
2017,1.6507929
2018,1.6908455
2019,1.732016
2020,1.7736778
2021,1.8153726
2022,1.8566567
2023,1.8973601
2024,1.9379698
2025,1.9807855
2026,2.0280171
2027,2.0810543
2028,2.138724
2029,2.1978466
2030,2.2546429
2031,2.3079056
2032,2.3579791
2033,2.4061822
2034,2.4552695
2035,2.5076424
2036,2.5658007
2037,2.6310068
2038,2.7014772
2039,2.7717211
2040,2.8368581
2041,2.8940057
2042,2.9450693
2043,2.9941987
2044,3.0456912
2045,3.1014032
2046,3.1605228
2047,3.2207767
2048,3.2794798
2049,3.3352527
2050,3.3879429
2051,3.4388315
2052,3.4900859
2053,3.542597
2054,3.5957558
2055,3.6487403
2056,3.7011537
2057,3.7531142
2058,3.8063047
2059,3.8615868
2060,3.9193494
2061,3.9784082
2062,4.0370216
2063,4.0934147
2064,4.1470877
2065,4.1990484
2066,4.2510716
2067,4.3039557
2068,4.3577041
2069,4.4115091
2070,4.4645394
2071,4.5160242
2072,4.5650075
2073,4.6112054
2074,4.6551906
2075,4.6978515
2076,4.7405546
2077,4.7840542
2078,4.8287094
2079,4.8743361
2080,4.920221
2081,4.9644557
2082,5.0060942
2083,5.04459
2084,5.0811225
2085,5.1167307
2086,5.1529967
2087,5.1901129
2088,5.2288532
2089,5.2696214
2090,5.3121414
2091,5.3553325
2092,5.3977675
2093,5.4367496
2094,5.4704923
2095,5.4994461
2096,5.5251311
2097,5.5499676
2098,5.5750419
2099,5.5995288
2100,5.6219494
