year,value
2003,1.1331351
2004,1.1608684
2005,1.1945434
2006,1.2311946
2007,1.2670974
2008,1.2994369
2009,1.3284446
2010,1.3565181
2011,1.3859825
2012,1.4176414
2013,1.452452
2014,1.4906062
2015,1.5319468
2016,1.5745852
2017,1.615514
2018,1.6534929
2019,1.6894584
2020,1.7255965
2021,1.7638884
2022,1.8041596
2023,1.8434452
2024,1.879561
2025,1.9101185
2026,1.9356241
2027,1.9593301
2028,1.9851228
2029,2.0163159
2030,2.0548943
2031,2.1004912
2032,2.1521109
2033,2.2074901
2034,2.2630715
2035,2.3167832
2036,2.3667413
2037,2.4139543
2038,2.461135
2039,2.5104455
2040,2.5633017
2041,2.6207061
2042,2.6807683
2043,2.7418145
2044,2.8026744
2045,2.8627948
2046,2.9226749
2047,2.9837241
2048,3.0457805
2049,3.1080729
2050,3.1706798
2051,3.2342691
2052,3.2991662
2053,3.3654421
2054,3.4315958
2055,3.4956553
2056,3.558272
2057,3.6210576
2058,3.6867626
2059,3.7566177
2060,3.8296742
2061,3.9034971
2062,3.9765499
2063,4.0477842
2064,4.1183244
2065,4.1894305
2066,4.2619001
2067,4.3358665
2068,4.4121894
2069,4.49185
2070,4.5750618
2071,4.6616939
2072,4.7490639
2073,4.8335922
2074,4.9138605
2075,4.9904232
2076,5.0646238
2077,5.1404714
2078,5.2202142
2079,5.3044053
2080,5.3935202
2081,5.4864205
2082,5.5797625
2083,5.6706218
2084,5.7558031
2085,5.8327519
2086,5.9031309
2087,5.9707704
2088,6.0393846
2089,6.1117747
2090,6.1882947
2091,6.2676133
2092,6.348474
2093,6.4308464
2094,6.5147594
2095,6.600237
2096,6.6852468
2097,6.7668525
2098,6.8411607
2099,6.9058137
2100,6.9595259
