year,high,low,value
2006,1.7988399,1.0827475,1.4407937
2007,1.8135777,1.0996773,1.4566275
2008,1.8359604,1.120476,1.4782182
2009,1.8705888,1.1451684,1.5078786
2010,1.918988,1.1746229,1.5468055
2011,1.9781503,1.2103032,1.5942267
2012,2.0416973,1.2527211,1.6472092
2013,2.1032573,1.2982449,1.7007511
2014,2.1590613,1.3421872,1.7506243
2015,2.2079659,1.380692,1.794329
2016,2.252231,1.4124924,1.8323617
2017,2.2941722,1.4391905,1.8666814
2018,2.3369339,1.464196,1.9005649
2019,2.3824596,1.4906725,1.936566
2020,2.431417,1.519954,1.9756855
2021,2.4829658,1.5518929,2.0174293
2022,2.5357408,1.5843293,2.0600351
2023,2.5859203,1.6170678,2.1014941
2024,2.6293968,1.6513122,2.1403545
2025,2.6646267,1.6881479,2.1763873
2026,2.6922107,1.7268847,2.2095477
2027,2.7173832,1.7645376,2.2409604
2028,2.745386,1.7969499,2.2711679
2029,2.7793337,1.8205752,2.2999545
2030,2.819447,1.8342819,2.3268644
2031,2.8628356,1.8406739,2.3517547
2032,2.9040265,1.8462129,2.3751197
2033,2.940539,1.8574884,2.3990137
2034,2.9746226,1.8769983,2.4258104
2035,3.0097608,1.9031293,2.456445
2036,3.0482751,1.9324703,2.4903727
2037,3.0884413,1.9615717,2.5250065
2038,3.1246966,1.9896595,2.5571781
2039,3.1526536,2.0155615,2.5841075
2040,3.1729229,2.0357281,2.6043255
2041,3.1895953,2.0473016,2.6184485
2042,3.2070011,2.0521771,2.6295891
2043,3.2273123,2.055746,2.6415291
2044,3.2493244,2.0653839,2.6573542
2045,3.2706594,2.0831712,2.6769153
2046,3.289707,2.1041647,2.6969359
2047,3.306614,2.1198472,2.7132306
2048,3.3211039,2.1256798,2.7233918
2049,3.333282,2.1219471,2.7276146
2050,3.3437772,2.1142373,2.7290072
2051,3.3538351,2.1070469,2.730441
2052,3.3640688,2.1029342,2.7335015
2053,3.3745207,2.1019828,2.7382517
2054,3.3841851,2.1041457,2.7441654
2055,3.3928144,2.1064301,2.7496223
2056,3.4020836,2.1070382,2.7545609
2057,3.4146317,2.1042513,2.7594415
2058,3.4308985,2.0983731,2.7646358
2059,3.4491112,2.0904409,2.769776
2060,3.4657401,2.0818085,2.7737743
2061,3.4768573,2.0720154,2.7744364
2062,3.4809999,2.0610547,2.7710273
2063,3.4802624,2.0506354,2.7654489
2064,3.477237,2.0434346,2.7603358
2065,3.4743025,2.0421552,2.7582288
2066,3.4726404,2.0460763,2.7593584
2067,3.4725757,2.0517213,2.7621485
2068,3.4740404,2.0543279,2.7641841
2069,3.4774902,2.0510896,2.7642899
2070,3.4819389,2.0418844,2.7619116
2071,3.4875909,2.0290582,2.7583246
2072,3.4941779,2.0148832,2.7545306
2073,3.5006421,2.0026539,2.751648
2074,3.5058836,1.994419,2.7501513
2075,3.5093028,1.9891349,2.7492189
2076,3.5105478,1.9852128,2.7478803
2077,3.5101733,1.9811053,2.7456393
2078,3.5086514,1.9754629,2.7420572
2079,3.5059213,1.969014,2.7374676
2080,3.5020062,1.9633167,2.7326615
2081,3.4967889,1.9591375,2.7279632
2082,3.4910009,1.9586062,2.7248035
2083,3.4868242,1.9626899,2.7247571
2084,3.4866458,1.9708568,2.7287513
2085,3.4915502,1.9810625,2.7363063
2086,3.4998963,1.9911758,2.745536
2087,3.5092593,1.9984118,2.7538355
2088,3.5184732,2.0017663,2.7601198
2089,3.527839,2.0010648,2.7644519
2090,3.5393666,1.9970103,2.7681884
2091,3.5531051,1.9906767,2.7718909
2092,3.5670881,1.9831074,2.7750977
2093,3.5783364,1.9743711,2.7763538
2094,3.5858346,1.9643147,2.7750747
2095,3.5898335,1.9535507,2.7716921
2096,3.5916779,1.9432041,2.767441
2097,3.5922156,1.9355642,2.7638899
2098,3.5916543,1.9318249,2.7617396
2099,3.5897887,1.9322081,2.7609984
